date,Isis,terrorism,Syria,Turkey,Iraq,Qatar,Iran,persian gulf,opec,blending,brent,crack spread,crude oil,liquefied natural gas,liquefied petroleum gas,nymex,petroleum,refined products,refinery,residual fuel oil,wti,oil barrel,petroleum industry,crude inventories,lease condensate,hydrocarbons,pentanes,pipeline,GDP,recession,energy,economic growth,commodity,price of gold,price of oil,price of crude,oil volatility,oil producers,oil exporter,oil sands,peak oil,Canada,Japan,Middle East,South America,Norway,Alberta,China,Australia,Russia,Arctic,oil rich,CAD/USD,CAD/JPY,oil market,cost per gallon,refining capacity,fuel efficiency,CPI,oil crisis,inflation,Gulf War,store oil,oil transportation,natural gas,the interest rates,world crude,supply,interest rates,endogenous variables,federal funds rate,real oil price,share of oil,marginal production cost,income elasticity,the oil supply,volatility,demand and supply,production levels,barrels per day,oil markets,world economic growth,impulse response function,var model,crude oil futures,oil prices,spr releases,Government Policy,crude oil prices,oil shock,us oil,american economic review,exchange and interest,the oil,demand shock,US,exchange rates,monetary policy,bureau of economic,global production,market uncertainty,market volatility,spot price,energy information administration,spr release,saudi arabia,private stocks,crude oil supply,wti futures price,funds rate,the middle east,demand,federal funds,impulse responses,wti futures,supply shock,price elasticity,crude oil price,crude price,oil consumption,elasticity of demand,Energy Prices,scarcity rent,oil supply,oil production,oil price,that monetary policy,natural gas production,marginal revenue,multipliers,the regression,strategic petroleum,gasoline demand,oil demand,the interest rate,impulse response,oil futures,interest rate,barrels of oil,real gdp,oil price change,run demand,chinese oil consumption,strategic petroleum reserve,Oil Shocks,us real,futures price
2004-01-01,6,66,8,23,22,14,59,59,44,88,91,0,30,29,29,24,98,69,65,0,9,6,94,0,0,77,100,66,88,9,91,77,84,18,8,7,0,73,31,20,18,100,29,63,100,47,98,83,95,62,47,47,46,0,32,11,15,34,68,35,88,68,30,62,76,24,65,97,70,0,44,25,16,0,35,48,74,61,0,0,49,80,100,71,7,11,0,69,14,18,44,100,25,27,0,79,100,63,71,37,0,60,45,58,0,55,30,0,0,34,81,60,60,60,0,21,32,4,7,41,22,40,0,47,65,8,0,72,17,100,36,30,0,20,15,50,19,72,31,37,20,13,0,43,42,85,31
2004-02-01,6,69,7,22,21,13,52,62,59,100,87,42,30,39,44,22,98,0,68,42,10,7,100,0,100,92,0,66,100,8,95,91,94,11,9,11,0,71,36,23,57,95,30,67,97,43,93,89,94,65,46,28,46,0,41,38,43,34,71,52,88,71,39,84,79,69,88,96,83,0,64,12,46,16,47,32,93,93,68,14,16,79,65,17,27,10,0,95,15,17,42,41,62,30,16,78,92,67,78,60,20,92,38,46,0,56,73,22,93,57,88,64,100,60,0,82,56,6,8,37,47,34,100,63,84,10,13,100,20,75,40,14,100,52,28,79,15,78,12,60,15,27,0,16,27,80,26
2004-03-01,6,100,9,24,24,13,45,64,71,98,86,51,33,59,36,25,98,64,76,0,12,8,88,0,0,89,0,63,96,10,93,83,90,15,8,11,75,73,25,32,49,96,30,70,84,41,90,89,93,65,40,35,56,0,42,37,36,47,71,56,98,72,26,83,69,65,20,96,79,0,17,31,38,79,42,79,100,86,51,35,10,37,0,0,25,12,0,78,10,54,41,84,76,31,100,75,84,84,78,89,100,42,31,63,0,61,73,27,0,25,92,67,36,74,0,76,57,9,10,46,28,29,0,57,95,10,17,37,16,85,37,58,16,35,25,86,20,78,0,69,30,55,0,45,51,79,14
2004-04-01,6,96,9,27,49,14,45,74,81,77,84,48,30,55,69,24,95,66,68,40,13,8,79,0,0,88,0,61,99,10,92,100,92,15,11,13,0,67,29,24,37,93,30,73,88,41,87,89,87,64,33,40,0,0,47,21,28,55,76,53,98,86,50,99,74,53,93,96,100,42,55,12,0,46,39,31,88,90,66,0,54,86,32,17,0,13,0,96,15,42,58,80,36,29,0,79,84,87,75,62,29,40,45,60,99,62,56,0,0,43,81,62,85,100,25,0,60,8,6,64,45,55,0,51,87,9,0,58,45,75,56,19,12,19,38,100,25,93,35,60,14,38,0,30,67,69,27
2004-05-01,5,89,9,27,100,13,49,100,100,84,89,21,47,87,72,37,97,72,65,0,22,22,58,31,0,91,0,61,92,8,90,95,83,16,18,25,34,71,30,29,51,91,30,76,92,44,89,88,95,64,31,55,37,0,46,43,54,70,78,100,95,100,38,100,75,71,100,93,92,37,53,31,26,40,45,26,86,76,11,47,40,58,27,29,100,26,0,100,36,65,74,75,51,30,27,77,84,100,100,93,34,84,38,71,0,66,97,36,0,55,91,61,87,25,0,34,47,18,17,75,39,56,0,76,87,19,11,92,28,74,38,88,31,73,29,95,49,84,46,68,4,18,0,96,46,75,30
2004-06-01,5,63,6,25,31,14,47,51,76,85,85,83,36,47,36,38,94,100,65,69,18,16,68,31,0,86,0,62,80,7,83,65,88,12,14,21,34,79,21,24,40,95,28,58,68,42,97,82,91,57,27,35,0,0,41,37,24,53,75,32,79,55,48,49,69,56,27,97,84,73,58,21,0,13,22,52,94,42,68,12,47,41,27,14,72,17,0,64,21,50,38,62,31,24,13,80,84,66,64,46,34,63,33,72,0,85,61,54,0,50,66,57,92,0,22,17,53,11,12,69,21,34,0,48,75,16,0,25,19,80,41,20,10,33,21,69,37,87,55,34,20,18,0,13,34,85,21
2004-07-01,6,56,7,26,26,13,44,37,30,89,87,36,27,49,100,27,92,30,66,0,14,8,74,0,0,63,0,54,73,5,79,59,76,11,10,19,35,64,26,24,34,93,27,50,65,45,96,78,89,51,25,36,0,0,45,32,31,46,73,24,66,42,33,63,63,59,70,96,73,0,35,11,27,0,24,69,81,38,48,25,63,78,29,31,23,15,0,66,15,30,28,59,65,23,0,77,83,75,46,56,35,58,32,45,0,56,38,38,0,44,54,57,46,13,0,36,42,12,11,43,32,42,87,46,75,11,23,0,9,44,34,9,22,35,22,86,27,76,11,36,21,19,0,5,0,74,20
2004-08-01,5,60,7,26,26,14,47,36,47,88,96,47,53,84,58,55,100,42,69,100,21,21,64,30,0,77,0,57,80,6,82,69,88,11,20,25,66,100,29,31,46,92,28,50,70,45,91,85,100,56,29,30,0,0,55,36,23,37,70,41,72,39,46,90,73,40,45,100,71,35,51,70,0,13,16,26,86,58,11,34,84,72,26,14,97,32,0,64,39,56,55,58,10,27,0,83,80,65,68,61,81,68,37,55,0,50,70,18,75,37,46,60,69,48,0,33,43,23,27,76,29,56,40,53,83,25,11,57,37,46,33,39,10,68,24,60,75,80,15,64,28,36,0,38,100,80,32
2004-09-01,6,89,7,25,39,14,46,55,60,79,90,31,45,78,53,38,97,64,60,31,19,17,64,55,0,100,0,59,84,8,86,85,80,10,18,21,91,75,67,32,55,89,28,62,92,38,86,87,89,80,34,48,33,0,54,30,27,41,76,47,81,53,39,78,73,54,59,92,68,65,57,46,23,12,35,35,82,89,30,0,24,51,72,65,54,23,0,72,19,45,56,53,37,27,0,86,72,76,64,56,15,74,36,88,0,58,54,32,0,48,71,63,67,54,19,15,55,16,18,70,40,53,0,51,75,21,0,74,17,63,47,42,9,59,23,77,39,72,31,51,7,23,0,35,51,69,29
2004-10-01,6,86,7,30,37,15,48,46,59,93,97,38,55,65,44,55,95,52,59,0,23,18,67,56,0,78,0,54,92,10,91,97,84,12,25,29,46,70,100,41,64,86,29,62,87,39,85,85,90,58,39,57,0,0,45,31,11,43,72,70,87,71,44,93,81,70,73,89,68,100,64,52,23,12,41,96,86,85,42,43,61,67,49,66,76,36,0,70,47,65,65,94,9,32,24,78,71,89,83,100,15,51,40,100,0,55,55,66,71,46,77,65,87,91,60,62,79,25,24,64,54,59,38,70,78,28,10,53,43,86,42,36,47,73,28,67,62,74,37,57,18,34,0,28,73,73,36
