,terrorism,Turkey,Iraq,Iran,persian gulf,opec,blending,crack spread,crude oil,liquefied natural gas,liquefied petroleum gas,nymex,petroleum,refined products,refinery,residual fuel oil,wti,oil barrel,petroleum industry,crude inventories,lease condensate,hydrocarbons,pentanes,pipeline,GDP,recession,economic growth,commodity,price of gold,price of oil,price of crude,oil volatility,oil producers,oil exporter,oil sands,peak oil,Canada,Middle East,South America,Alberta,China,Australia,Russia,Arctic,oil rich,CAD/USD,CAD/JPY,oil market,cost per gallon,refining capacity,fuel efficiency,oil crisis,inflation,Gulf War,store oil,oil transportation,natural gas,the interest rates,world crude,supply,interest rates,endogenous variables,federal funds rate,real oil price,share of oil,marginal production cost,income elasticity,the oil supply,volatility,demand and supply,production levels,barrels per day,oil markets,world economic growth,impulse response function,var model,crude oil futures,oil prices,spr releases,Government Policy,crude oil prices,oil shock,us oil,american economic review,exchange and interest,the oil,demand shock,exchange rates,monetary policy,bureau of economic,global production,market uncertainty,market volatility,spot price,energy information administration,spr release,private stocks,crude oil supply,wti futures price,funds rate,the middle east,demand,federal funds,impulse responses,wti futures,supply shock,price elasticity,crude oil price,crude price,oil consumption,elasticity of demand,Energy Prices,scarcity rent,oil supply,oil production,oil price,natural gas production,marginal revenue,multipliers,strategic petroleum,gasoline demand,oil demand,impulse response,oil futures,interest rate,barrels of oil,real gdp,oil price change,run demand,chinese oil consumption,strategic petroleum reserve,Oil Shocks,OPEC_price
terrorism,1.0,0.103186553077,0.780504880871,0.363587952797,0.752469583704,0.723133802268,0.757799172223,0.0359263213058,0.058530922657,0.524595894377,0.365901218829,0.00858732016704,0.849607308938,0.524739786807,0.521847831298,0.181476244594,0.152404577583,0.230109687068,0.85201056756,0.215523669846,0.00213453836905,0.875404651878,0.126739054633,0.869944577771,0.738351041472,0.45734922747,0.894733798577,0.686814498662,0.633470382617,0.241929384421,0.151136495816,0.288282004885,0.741228735383,0.638050762904,0.111603022675,0.511215824032,0.872426438392,0.77368678291,0.877497313941,0.745059522034,0.777028995877,0.746484566958,0.765870101621,0.0405667218567,0.229539548954,0.22283654368,0.252669259828,0.259724294809,0.430950948255,0.477814483268,0.315480273382,0.477769386708,0.580779302189,0.904103954781,0.482760736255,0.793647145214,0.632908423312,0.127585878886,0.488739579657,0.852617659461,0.423091101952,0.103810726617,0.369990784102,0.216760568337,0.34167156093,0.197086559125,0.0680186917657,0.223653456546,0.858061156695,0.568045298888,0.0518533937876,0.0852792524984,0.112797275429,0.514783903539,0.124884962377,0.160667492348,0.263637404489,0.115015511671,0.196555272306,0.88453958152,0.0382888755124,0.25867054828,0.278356394429,0.896699095479,0.329891540827,0.194486388262,0.201651377643,0.812334221684,0.73232688174,0.913905359683,0.691941898762,0.592447373439,0.433467210258,0.483866385317,0.650335195225,0.166131572338,0.548318828541,0.316239342145,0.166007876211,0.27189914843,0.79785318556,0.476537559089,0.575346251347,0.70499880767,0.0207529700574,0.155025389919,0.335666219339,0.244363181118,0.221544183083,0.515747267747,0.0245009310471,0.0488116730535,0.0741401745423,0.558868954356,0.777862794302,0.25121583141,0.438791045934,0.0484412295204,0.892120404876,0.511270543246,0.202944215678,0.300734053504,0.85845871261,0.150082998715,0.444366943714,0.00930023537112,0.173496802805,0.496960886192,0.00427373882603,0.106749120645,0.487143374204,0.454995333176,0.676279565654
Turkey,0.103186553077,1.0,0.0413787715234,0.13828414995,0.039880019087,0.0966395406469,0.0124604455805,0.0304691616834,0.0252316719669,0.0319240400124,0.0668874284858,0.0753354656543,0.0746422622038,0.0186127157655,0.239748017793,0.0526407741522,0.00398182015816,0.0151378663261,0.00546423904366,0.0262657074674,0.00619304653491,0.0717670421334,0.0933210063707,0.0712424311653,0.12830406501,0.00536671236855,0.120055470355,0.00189224284139,0.0836831621784,0.0464938675275,0.0309908959435,0.175115139961,0.0548729525691,0.00112286325886,0.0812796868627,0.00234313207851,0.0359713107053,0.00175720319385,0.0103920341775,0.109282624833,0.0441147890768,0.0486794684538,0.0215626970069,0.0141079892567,0.074480438008,0.0821178926406,0.0125048226297,0.0468216738699,0.0195096778982,0.0673437039521,0.0923592497798,0.0493864222171,0.0897191472489,0.0637703270285,0.0833524669859,0.0550663007336,0.0842386507671,0.147866100657,0.0216303411642,0.114720783098,0.172502636867,0.0614125920199,0.102223464469,0.023635140467,0.0450681254151,0.228286295444,0.214782962954,0.311743454938,0.02463601912,0.213901531299,0.028856645214,0.109544182391,0.028644364399,0.0501227530768,0.136898341882,0.0454162830953,0.00895003485599,0.0391401207886,0.0854447294298,0.126700933592,0.025788852783,0.15389258668,0.00229336333201,0.0202989874067,0.0740498910449,0.00300681454206,0.148215070879,0.0480947155549,0.293811361552,0.0385729382632,0.12145122808,0.120021499626,0.0224722786409,0.1013760811,0.00853978385258,0.0793189580784,0.0683268266057,0.267972613842,0.100384514824,0.0166152860439,0.0196224791154,0.0538091653337,0.0934227926462,0.00552112864531,0.00243000307391,0.250781896474,0.303909807949,0.016400997896,0.00629325876281,0.023233418346,0.202671076356,0.00537862499619,0.0782729954273,0.0150577649215,0.0109416204115,0.0243613506192,0.0568692968333,0.530948554328,0.0697303249715,0.0607133575989,0.106894560296,0.112688426265,0.0796660040628,0.019974830108,0.0844608222307,0.0363405719235,0.0179734468498,0.0364656231636,0.355699328279,0.043306532254,0.0245738378705,0.0320301197462,0.0445457594092
Iraq,0.780504880871,0.0413787715234,1.0,0.28644766668,0.746068313588,0.697770830445,0.531676089579,0.0090435791062,0.0255905581227,0.569058788747,0.440278061436,0.0195668681666,0.654050665735,0.451135233129,0.348506577433,0.100879510332,0.0776428571561,0.181542341381,0.620905263482,0.195744526555,0.0525594193703,0.689717631742,0.174892694301,0.679856795903,0.555982000163,0.388602164651,0.716840816437,0.482670162216,0.496940658305,0.212887183687,0.130943186166,0.119505492838,0.554607782879,0.506224821348,0.00240121495391,0.321917919902,0.683815583472,0.646616937385,0.69115781059,0.574141561346,0.589304535511,0.608213063399,0.62273729758,0.0337602599823,0.148708396294,0.187572058302,0.247357315691,0.174231064017,0.336982357377,0.416097140025,0.3244558097,0.488446734285,0.484805806474,0.823124595482,0.321966897368,0.656826982428,0.444042141939,0.13200045775,0.536267108279,0.674185294508,0.401905022299,0.171202106318,0.315483798064,0.139608014499,0.293491343887,0.141250432167,0.0451266982096,0.0200973013018,0.650908443119,0.407062450075,0.126613816812,0.0354867753696,0.119984228522,0.388614431572,0.0454524034969,0.168829130178,0.310783757784,0.108269247827,0.144114441695,0.755198517262,0.0311634454104,0.269745401866,0.273181674028,0.730139910838,0.155754992784,0.180183451752,0.0793192136663,0.647296887928,0.649582693061,0.792672877712,0.622816320556,0.38014693918,0.377021289292,0.388281855594,0.514219704672,0.152992180554,0.607616767874,0.232055191042,0.0456809062758,0.249082865221,0.6305991712,0.415125572605,0.521614170538,0.455552607482,0.00852857489523,0.00636683978335,0.195788827347,0.207734718996,0.199450950707,0.475200497823,0.0016430367766,0.000711120219876,0.00938963849797,0.481521437585,0.593989514509,0.217899569235,0.380405705558,0.0532381574992,0.672121430754,0.553130696043,0.0825049352168,0.231847607032,0.680653071301,0.126287050023,0.373998075971,0.0374706804421,0.13027986972,0.524639171729,0.141709253779,0.147244264256,0.544646996065,0.398941753453,0.513856772213
Iran,0.363587952797,0.13828414995,0.28644766668,1.0,0.348368477681,0.209612796729,0.432016945389,0.0840337654107,0.0238765200577,0.273350151972,0.089338853276,0.0790033686764,0.469905470175,0.109426737264,0.235351587607,0.228463402189,0.159645898187,0.211802040232,0.420209744027,0.04582652121,0.0126956378508,0.389849492723,0.117527780636,0.47764711797,0.17438954373,0.403516862147,0.364275102114,0.40680271784,0.429267416724,0.197935019849,0.159857527892,0.0463166126914,0.478679939651,0.229924174149,0.399391768552,0.393667420956,0.485658333305,0.392695780795,0.437817810015,0.581349468481,0.341734536867,0.298858796348,0.331149047333,0.322046186244,0.140619333214,0.00294620646733,0.0452085907114,0.0405645753979,0.125329788084,0.238668720541,0.217714212331,0.167866877025,0.18321993751,0.397804868844,0.445601567237,0.345928334398,0.325239578234,0.249436256319,0.0623619953136,0.440077959812,0.159970380611,0.0831809897982,0.175960349576,0.00122480841583,0.24588598199,0.172524380459,0.204206427928,0.0358128081492,0.348275644445,0.0750710847871,0.0564800550529,0.0508535718569,0.0943639358688,0.384630134306,0.107035102053,0.139025889854,0.155522928709,0.119880899394,0.13014227494,0.321916953861,0.0567011403277,0.0296480674788,0.100784072954,0.385873307307,0.155533844986,0.253833845228,0.0902521349234,0.397197788552,0.180552559558,0.372464998118,0.271606497703,0.168460599376,0.0916438563208,0.228731259909,0.348740589734,0.0452996085676,0.156269076047,0.0186592531729,0.0609140026231,0.146653704271,0.391002937711,0.463951285548,0.24362193368,0.19630803727,0.0808293205265,0.0262449373407,0.0728801723423,0.214364061152,0.184701143683,0.191240760642,0.289832356481,0.0296435787031,0.227353091484,0.228474282644,0.359563741804,0.205881297119,0.303587823062,0.23220907132,0.354078240956,0.149301053334,0.158671069451,0.138994309883,0.323806131032,0.0737796091276,0.195403185972,0.0393056166413,0.115414735734,0.390078606135,0.288895781852,0.130888694535,0.117507976414,0.136234833591,0.303491524473
persian gulf,0.752469583704,0.039880019087,0.746068313588,0.348368477681,1.0,0.750148074982,0.618082033518,0.149978182462,0.062331224831,0.447927492427,0.367705717105,0.0152731249778,0.697654688986,0.431038730126,0.419395017778,0.0447377009192,0.137420784955,0.138193644394,0.693503612875,0.20442785367,0.0658289751571,0.809260355213,0.087917231149,0.703049719346,0.649157821455,0.411854506055,0.812913227192,0.664967809243,0.473454521661,0.173577423083,0.10342965847,0.203330494835,0.616808297009,0.436444395503,0.107033005704,0.462391192206,0.683218100201,0.641014922654,0.797069850479,0.628126361393,0.752978436433,0.513588065413,0.701534686314,0.0338566856308,0.167450153505,0.168169288271,0.225515136492,0.243787738338,0.142063507905,0.452797606517,0.443932071966,0.62589681748,0.693515756318,0.902939505266,0.477873054272,0.72155507107,0.493296707512,0.17678258989,0.47477125202,0.642155364476,0.36709144139,0.0703878356452,0.405031364835,0.110282968754,0.247173511094,0.154383902351,0.0862305213534,0.226000039104,0.73123533077,0.499539066447,0.138529364387,0.0536367604369,0.103593271674,0.54513494719,0.139032929181,0.163651818963,0.265553588166,0.0959539028529,0.120428307667,0.848901836074,0.015396638113,0.411462102942,0.408501536045,0.710584159466,0.307286197558,0.067871025387,0.188759795733,0.651551249998,0.746039670959,0.763294399726,0.65362068462,0.377105892777,0.456304466079,0.324610124836,0.497285722655,0.242377488095,0.434875264693,0.260865239175,0.0147643408593,0.337354123762,0.715651651561,0.426071530865,0.541189099323,0.48133046726,0.0707973347829,0.317841446695,0.221236740091,0.217304451659,0.204385603891,0.574725564219,0.0310842766062,0.0175860226286,0.0324863945834,0.514960093786,0.687021169306,0.203443078557,0.489773957342,0.0288157763786,0.715002475165,0.506448377339,0.212099851263,0.341170356571,0.701302290891,0.113223207546,0.428698478062,0.158326462679,0.229483981751,0.487999436654,0.0350623711297,0.138325543355,0.522540105312,0.439964860174,0.43546862372
opec,0.723133802268,0.0966395406469,0.697770830445,0.209612796729,0.750148074982,1.0,0.568334789222,0.316989930774,0.448547410018,0.406588093894,0.350961674887,0.302495885957,0.589901215949,0.440082153601,0.444644975277,0.147199203129,0.261996594499,0.265967339215,0.60081039202,0.161464168638,0.024264823487,0.707869821714,0.191398468565,0.642731026986,0.651322410713,0.112914745105,0.726921840262,0.7118121544,0.322398450499,0.244881380021,0.313285972974,0.272227787165,0.661373185579,0.490486934867,0.139136207189,0.491206116043,0.553563605319,0.590601848989,0.693967640282,0.496088213724,0.617767194505,0.331970850577,0.673692293028,0.0289756290844,0.0519065835786,0.119746057162,0.135712761424,0.556488037676,0.0244740834207,0.477091819983,0.531305927959,0.700451123133,0.798280099869,0.752544908017,0.379973061949,0.71587187162,0.576133990979,0.299757638404,0.608696908583,0.556688923895,0.597201587397,0.122354389821,0.49889418896,0.456917585875,0.312077542403,0.196980388033,0.222218980943,0.282430775465,0.737866708157,0.533015288284,0.0904587881005,0.090612837248,0.377358569646,0.462810823954,0.0669698486537,0.17440625989,0.514557202898,0.324069814251,0.00477570628123,0.730047424738,0.368358119072,0.379066898857,0.52604629597,0.645064325887,0.264346924767,0.162297031373,0.205646261606,0.632392700405,0.652574654199,0.758435953441,0.650764330991,0.410237014448,0.549940426994,0.131905901682,0.653459938932,0.232670615251,0.512397755002,0.338208335581,0.0416399631617,0.44420632446,0.636437988139,0.405188527177,0.647321605337,0.439897941732,0.109824145108,0.10662737465,0.348549524936,0.188551070269,0.204415549714,0.698375694462,0.0489195231017,0.262668225777,0.0153440717108,0.610534279831,0.743154676171,0.209771894248,0.409364215344,0.110181891608,0.69085676172,0.574859291619,0.281451209312,0.531973453124,0.681424702158,0.469338556102,0.624903596076,0.212934512723,0.334204034117,0.433628437856,0.0231716919653,0.0541770909154,0.586619133455,0.438321440419,0.38692215746
blending,0.757799172223,0.0124604455805,0.531676089579,0.432016945389,0.618082033518,0.568334789222,1.0,0.112100771255,0.114211429909,0.502021645129,0.367794446266,0.128446108942,0.819949120836,0.418825378093,0.566855118288,0.287720564987,0.117061742292,0.178326787072,0.829677356066,0.145104780886,0.179718826768,0.788099161603,0.152170610629,0.859246613296,0.643336213663,0.451394768003,0.765653206531,0.694512160484,0.586139268348,0.170132830435,0.061599514067,0.233160392439,0.768367015612,0.538232106727,0.312465669946,0.632256095769,0.826834456961,0.747260582646,0.812535111318,0.775081378705,0.701578521403,0.634931036806,0.699317007483,0.249395068725,0.306480335191,0.176520021942,0.149519794761,0.290275009446,0.278957397675,0.52571127786,0.338501414714,0.422568900727,0.529825557825,0.738711581997,0.535762594054,0.706720303678,0.697305299111,0.0214188495104,0.380797486201,0.810001075599,0.352284436191,0.0509251060162,0.347836009737,0.220819400661,0.237064130226,0.0499691483489,0.0467672599541,0.256634471657,0.786303104458,0.433812343567,0.0607324108175,0.0257295082111,0.225283560604,0.599590047901,0.0876565478615,0.244446468464,0.313538866519,0.0393749577989,0.140479023428,0.755844793688,0.0517304401984,0.141866038351,0.252557952914,0.751923510621,0.25169198763,0.217031618917,0.175973302723,0.721699749998,0.557019620337,0.793548463509,0.580005205624,0.50342634686,0.405653002632,0.406071885116,0.617651860346,0.0297000482642,0.461365388143,0.289645333913,0.190067620797,0.336265959057,0.761549362539,0.519133850101,0.544080558307,0.531212869576,0.116139001864,0.284247534984,0.263474779018,0.188495602918,0.157159478608,0.513301150362,0.0848076777609,0.123160609484,0.285386960035,0.563155815852,0.77046602594,0.184583011091,0.450120508922,0.151438763401,0.753578697153,0.431799869589,0.343546006597,0.385566043213,0.720089297922,0.211435027519,0.440667131251,0.0124399800037,0.171160645793,0.480740247184,0.0979352934722,0.123061123499,0.385454529618,0.408854682555,0.54858082684
crack spread,0.0359263213058,0.0304691616834,0.0090435791062,0.0840337654107,0.149978182462,0.316989930774,0.112100771255,1.0,0.403396999179,0.207355222145,0.159885985673,0.393188866821,0.124687863354,0.0484938714552,0.333985826625,0.316568133234,0.299148586719,0.343943161777,0.0947545022181,0.0634419962576,0.0474465222254,0.0690282753745,0.0998860608499,0.111792658541,0.0741706319282,0.0655581826508,0.0641321685382,0.40653147761,0.13109713827,0.354368788049,0.401913644529,0.234972990037,0.339453727126,0.126188363659,0.295536862476,0.430648238296,0.0360011498435,0.0525148068034,0.116576939163,0.230622646049,0.251192152962,0.193208940037,0.144042556538,0.0233946144778,0.0592159045361,0.14099805538,0.122327015301,0.464804702235,0.344987986692,0.438385102056,0.622223268606,0.309416294734,0.374700721181,0.0207964921875,0.214494391365,0.259669151264,0.28603259386,0.0223205182387,0.147676513104,0.118237789806,0.17713462911,0.0132734014484,0.303066428147,0.272066145816,0.104324349667,0.0864294698427,0.143148294897,0.205444078781,0.249928916309,0.0253365621354,0.0101746004286,0.308814673364,0.346680240687,0.115064160526,0.119374785493,0.0935408199077,0.353332968174,0.403854397911,0.150462879885,0.0553447495147,0.416691963633,0.453755193569,0.461439742823,0.00887546078924,0.0487134992617,0.14313087704,0.105626887386,0.0833830311882,0.0185161381971,0.0728444822676,0.272388672357,0.155935325821,0.0701738461032,0.0145585273674,0.271954928194,0.0316250645371,0.0806571967718,0.402002509632,0.0931007027397,0.304887842784,0.00442019331415,0.345636416171,0.274529619817,0.09156735582,0.155776356208,0.0427856437954,0.043043598429,0.253707472947,0.263385225674,0.460869176091,0.212582953583,0.347182953302,0.0126786949654,0.381191621608,0.389169389627,0.330609249641,0.230077812536,0.123306657695,0.0414473421166,0.235818125997,0.317804241121,0.42077509164,0.058143570241,0.493921970313,0.354693866875,0.195867659699,0.0465762755701,0.221536574771,0.181004368623,0.00154655455744,0.25812361094,0.125882847585,0.266836229829
crude oil,0.058530922657,0.0252316719669,0.0255905581227,0.0238765200577,0.062331224831,0.448547410018,0.114211429909,0.403396999179,1.0,0.0057984042787,0.124957185089,0.818412189713,0.0842916553934,0.0827115891131,0.206609027504,0.0152085784242,0.903088863505,0.907557780764,0.0297538324279,0.295904865903,0.0965043301718,0.0175353789798,0.0685807377831,0.117328730832,0.0598497423742,0.325853891004,0.0365020804552,0.365464805374,0.171207298682,0.919026199855,0.948581358917,0.312172160611,0.317293642189,0.234105638267,0.260114834396,0.348682351358,0.0648246831232,0.0826579651571,0.0651385148932,0.0721790749308,0.189625208998,0.182106216678,0.251945821053,0.164902654751,0.318704829332,0.0987752449216,0.0969465746245,0.900516522444,0.404015049727,0.282225847845,0.520638869387,0.534460754034,0.437342454166,0.0143538035667,0.0122382680479,0.279131472697,0.404909047047,0.113852007067,0.481920398697,0.035957887801,0.315066147873,0.0770262774326,0.146214767096,0.823425392498,0.0825035444324,0.0523053742424,0.0807743383606,0.290085385192,0.175555590611,0.0561244620674,0.120034902856,0.36312048571,0.651554769851,0.0669227382252,0.00202414927852,0.0763446301015,0.755976856374,0.96374591445,0.230219393828,0.0253322025821,0.965745867474,0.278607619288,0.654266225535,0.0279289149671,0.0318464107397,0.00926347872371,0.0821823705128,0.154886857371,0.00198236004946,0.115576162199,0.155936274895,0.0750512889209,0.323905852332,0.30837107471,0.463698951435,0.0698714531241,0.046148306385,0.300946618388,0.0347527456416,0.180623232741,0.0283376238248,0.129504080325,0.147983666059,0.0565710496972,0.245295497512,0.076334307877,0.00502990104426,0.90020565871,0.917687527482,0.547496541334,0.0628478575536,0.750342744256,0.000209496947611,0.430210425324,0.400430438208,0.923684617139,0.267259079955,0.00575502954883,0.0329464102411,0.390810239536,0.297715212868,0.719206243713,0.0260233100836,0.892594653183,0.362889311984,0.365879099692,0.0968228668445,0.0487374835341,0.0338135836124,0.122182016855,0.383838337333,0.0613302937772,0.159508983665
liquefied natural gas,0.524595894377,0.0319240400124,0.569058788747,0.273350151972,0.447927492427,0.406588093894,0.502021645129,0.207355222145,0.0057984042787,1.0,0.185059056316,0.111691503928,0.50023228212,0.40853321408,0.353428596075,0.411897913075,0.12805947854,0.228103293274,0.449807320675,0.0205168249236,0.0183115202811,0.538021512651,0.184771614905,0.53587487514,0.359394625195,0.476761827756,0.541505729889,0.365440456421,0.595833354435,0.242400265233,0.156559352608,0.244359945764,0.482510160832,0.383917393855,0.219971700751,0.413913831109,0.552256838086,0.419268241119,0.546831871911,0.555686397353,0.482485299546,0.343666767343,0.446199915013,0.244493109298,0.289274365674,0.241389754515,0.137803950014,0.119233505905,0.29829845988,0.402755070336,0.229800090479,0.250700709156,0.273523708187,0.455683093202,0.489254017769,0.463670559786,0.454319565506,0.145913955325,0.166384110148,0.538997373096,0.107118900602,0.157439852224,0.220046976198,0.0948565576091,0.274885353876,0.0241728238331,0.0309878918885,0.0126192766557,0.524324880291,0.331411552682,0.119980386463,0.110836893945,0.150930786914,0.292887476515,0.105639465371,0.189008579924,0.236233713315,0.105530843787,0.177496656893,0.507562459702,0.0396281027821,0.293944784775,0.135486195268,0.475512354456,0.107746108123,0.280917168643,0.0945730708751,0.370862757817,0.396309652448,0.589358645345,0.503897682096,0.364499044867,0.139853403141,0.458030889054,0.351107581466,0.0364280941119,0.407047775627,0.176405356526,0.00179703890431,0.15585697744,0.413812134681,0.466457493309,0.407964663517,0.352247685305,0.0574497365033,0.0226384133373,0.200765032813,0.229106679344,0.220345446775,0.364793802889,0.035807829344,0.0770311616868,0.0270616939014,0.378613836637,0.487671023112,0.240410630244,0.331078263789,0.0727694144787,0.385913646357,0.358822048984,0.183505271876,0.216751586614,0.526638484703,0.129072484639,0.226475626944,0.0798407979792,0.157218662967,0.555316906548,0.204403364574,0.0350218432232,0.344619183792,0.29811997443,0.395362649078
